id,AUTM_names,std_name
95096,The General Hospital dba Massachusetts General Hospital,Massachusetts General Hospital
95097,Massachusetts Inst. of Technology (MIT),Massachusetts Institute of Technology
95097,Massachusetts Institute of Technology,Massachusetts Institute of Technology
95097,Massachusetts Institution of Technology (MIT),Massachusetts Institute of Technology
95098,Mayo Fdn. for Medical Education and Research,Mayo Foundation
95098,Mayo Foundation,Mayo Foundation
95098,Mayo Foundation for Medical Education and Research,Mayo Foundation
95101,Medical College of Ohio,Medical College of Ohio
95101,Medical University of Ohio at Toledo,Medical College of Ohio
95102,Medical College of PA,Medical College of Pennsylvania
99010,Medical College of Wisconsin,Medical College of Wisconsin
99010,Medical College of Wisconsin Research Fndtn,Medical College of Wisconsin
95103,Medical Univ. of South Carolina,Medical University of South Carolina
95103,Medical University of South Carolina,Medical University of South Carolina
95105,Miami Univ.,Miami University
95105,Miami University,Miami University
95107,Michigan State Univ.,Michigan State University
95107,Michigan State University,Michigan State University
95108,Michigan Technological Univ.,Michigan Tech
95108,Michigan Technological University,Michigan Tech
95109,Mississippi State Univ.,Mississippi State University
95109,Mississippi State University,Mississippi State University
95110,Montana State Univ.,Montana State University
95110,Montana State University,Montana State University
98012,Monterey Bay Aquarium Research Institution,Monterey Bay Aquarium
20160319,Morgan State University,Morgan State University
95050,Mount Sinai School of Medicine,Mount Sinai
95050,Mount Sinai School of Medicine of NYU,Mount Sinai
95113,National Jewish Center,National Jewish Health
95113,National Jewish Health,National Jewish Health
95113,National Jewish Med. and Research Center,National Jewish Health
20140297,National Radio Astronomy Observatory,National Radio Astronomy
20140305,Nationwide Children?s Hospital,Nationwide Children's Hospital
95114,New England Deaconess Hospital,New England Deaconess
95116,New Jersey Inst. of Technology,New Jersey Inst
95116,New Jersey Institute of Technology,New Jersey Inst
95116,New Jersey Institution of Technology,New Jersey Inst
95118,New Mexico State University,New Mexico State University
95119,New York Blood Center,New York Blood Center
95120,New York Medical College,New York Medical College
95121,New York Univ.,New York University
95121,New York University,New York University
95121,New York University Medical Center,New York University
20000015,North Carolina A&T State University,North Carolina A&T
95123,North Carolina State Univ.,North Carolina State University
95123,North Carolina State University,North Carolina State University
95124,North Dakota State Univ.,North Dakota State University
95124,North Dakota State University,North Dakota State University
95125,Northeastern Univ.,Northeastern University
95125,Northeastern University,Northeastern University
20160324,Northern Arizona University,Northern Arizona University
20100273,Northern Arizona University,Northern Arizona University
95126,Northern Illinois University,Northern Illinois University
20010270,Northern Illinois University,Northern Illinois University
95127,Northwestern Univ.,Northwestern University
95127,Northwestern University,Northwestern University
20100289,NUtech Ventures,NUtech Ventures
95128,Ohio State Univ.,Ohio State University
95128,Ohio State University,Ohio State University
95129,Ohio Univ.,Ohio University
95129,Ohio University,Ohio University
98013,Oklahoma Medical Research Fndtn,Oklahoma Medical
98013,Oklahoma Medical Research Foundation,Oklahoma Medical
